post_date,avg_sentiment,variance,total_posts,pos,neg,neu
2025-04-07 00:00:00+00:00,-0.6,0.0,1,0,1,0
2025-04-08 00:00:00+00:00,0.05263157894736842,0.08374269005847954,18,5,1,13
2025-04-09 00:00:00+00:00,0.07777777777777778,0.06183006535947714,18,1,0,17
2025-04-10 00:00:00+00:00,0.0,0.0,2,0,0,2
2025-04-11 00:00:00+00:00,0.15,0.08857142857142856,8,1,0,7
2025-04-12 00:00:00+00:00,-0.6,0.0,1,0,0,1
2025-04-13 00:00:00+00:00,0.0,0.0,0,0,0,0
2025-04-14 00:00:00+00:00,0.0,0.0,1,0,0,1
2025-04-15 00:00:00+00:00,-0.04,0.008,5,0,0,5
2025-04-16 00:00:00+00:00,0.31428571428571433,0.17142857142857146,7,1,0,6
2025-04-17 00:00:00+00:00,0.08888888888888889,0.011111111111111112,9,0,0,9
2025-04-18 00:00:00+00:00,0.016666666666666666,0.0033333333333333344,12,0,0,12
2025-04-19 00:00:00+00:00,0.06666666666666667,0.013333333333333336,3,0,0,3
2025-04-20 00:00:00+00:00,0.15,0.11666666666666665,4,2,1,1
2025-04-21 00:00:00+00:00,0.04,0.028000000000000004,5,1,0,4
2025-04-22 00:00:00+00:00,0.05,0.008571428571428572,6,1,0,7
2025-04-23 00:00:00+00:00,0.13333333333333333,0.010666666666666668,6,0,0,6
2025-04-24 00:00:00+00:00,0.08,0.012000000000000002,5,2,0,3
2025-04-25 00:00:00+00:00,0.13333333333333333,0.013333333333333336,3,2,0,1
2025-04-26 00:00:00+00:00,0.5,0.5,2,1,0,1
2025-04-27 00:00:00+00:00,0.0,0.0,0,0,0,0
2025-04-28 00:00:00+00:00,0.27999999999999997,0.092,5,1,0,4
2025-04-29 00:00:00+00:00,0.13333333333333333,0.013333333333333336,3,2,0,1
2025-04-30 00:00:00+00:00,0.05454545454545456,0.15272727272727277,11,2,2,7
2025-05-01 00:00:00+00:00,0.15,0.12285714285714286,8,2,0,6
2025-05-02 00:00:00+00:00,0.2,0.08,4,2,0,2
2025-05-03 00:00:00+00:00,0.0,0.0,2,0,0,2
2025-05-04 00:00:00+00:00,0.0,0.0,1,0,0,1
2025-05-05 00:00:00+00:00,0.04,0.008,5,1,0,4
2025-05-06 00:00:00+00:00,0.10769230769230768,0.03076923076923077,13,0,0,13
2025-05-07 00:00:00+00:00,0.06666666666666667,0.01066666666666667,5,1,0,5
2025-05-08 00:00:00+00:00,0.05714285714285715,0.009523809523809525,7,1,0,6
2025-05-09 00:00:00+00:00,0.1142857142857143,0.06476190476190476,7,3,1,3
2025-05-10 00:00:00+00:00,0.4,0.07999999999999997,2,2,0,0
2025-05-11 00:00:00+00:00,0.4666666666666666,0.21333333333333332,3,3,0,0
2025-05-12 00:00:00+00:00,0.125,0.010714285714285716,8,5,0,3
2025-05-13 00:00:00+00:00,0.11666666666666665,0.061515151515151516,12,4,0,8
2025-05-14 00:00:00+00:00,0.16666666666666666,0.054666666666666676,6,3,0,3
2025-05-15 00:00:00+00:00,0.39999999999999997,0.12,3,1,0,2
2025-05-16 00:00:00+00:00,0.05,0.008571428571428572,8,2,0,6
2025-05-17 00:00:00+00:00,0.2285714285714286,0.1257142857142857,7,4,0,3
2025-05-18 00:00:00+00:00,0.6,0.0,2,2,0,0
2025-05-19 00:00:00+00:00,0.0,0.0,2,0,0,2
2025-05-20 00:00:00+00:00,0.06363636363636364,0.00909090909090909,21,7,0,15
2025-05-21 00:00:00+00:00,0.022222222222222223,0.004444444444444445,9,1,0,8
2025-05-22 00:00:00+00:00,0.03333333333333333,0.006666666666666668,6,1,0,5
2025-05-23 00:00:00+00:00,0.15999999999999998,0.10488888888888889,10,3,0,7
2025-05-24 00:00:00+00:00,0.24,0.108,4,2,0,3
2025-05-25 00:00:00+00:00,0.08333333333333333,0.0396969696969697,12,3,1,8
2025-05-26 00:00:00+00:00,0.175,0.07357142857142855,8,2,0,6
2025-05-27 00:00:00+00:00,0.15,0.04285714285714286,8,1,0,7
2025-05-28 00:00:00+00:00,-0.018181818181818177,0.18763636363636366,11,1,4,6
2025-05-29 00:00:00+00:00,0.06666666666666667,0.03878787878787879,12,3,1,8
2025-05-30 00:00:00+00:00,0.25,0.1536363636363636,11,3,0,9
2025-05-31 00:00:00+00:00,0.05,0.010000000000000002,4,1,0,3
2025-06-01 00:00:00+00:00,1.0,0.0,2,2,0,0
2025-06-02 00:00:00+00:00,0.08,0.10844444444444447,10,1,1,8
2025-06-03 00:00:00+00:00,0.125,0.106,16,3,1,12
