word,positive,negative,neutral,total_count
stay,40.0,8.0,60.0,108.0
simple,35.0,4.0,69.0,108.0
daily,46.0,1.0,61.0,108.0
cash,37.0,5.0,65.0,107.0
fund,28.0,7.0,72.0,107.0
close,22.0,3.0,82.0,107.0
including,38.0,3.0,66.0,107.0
sense,39.0,7.0,61.0,107.0
weex,87.0,0.0,20.0,107.0
pump,87.0,0.0,20.0,107.0
11,34.0,7.0,66.0,107.0
wallet,34.0,2.0,70.0,106.0
limited,39.0,3.0,64.0,106.0
play,34.0,3.0,69.0,106.0
away,41.0,6.0,59.0,106.0
summit,9.0,0.0,97.0,106.0
idea,34.0,12.0,59.0,105.0
spot,29.0,3.0,73.0,105.0
projects,33.0,5.0,67.0,105.0
google,44.0,1.0,59.0,104.0
control,45.0,5.0,54.0,104.0
please,30.0,4.0,70.0,104.0
set,48.0,4.0,52.0,104.0
coverage,37.0,1.0,66.0,104.0
put,28.0,4.0,71.0,103.0
act,40.0,7.0,56.0,103.0
interest,30.0,8.0,65.0,103.0
stock,40.0,8.0,55.0,103.0
models,44.0,2.0,57.0,103.0
podcast,28.0,7.0,68.0,103.0
happen,33.0,5.0,64.0,102.0
collateral,17.0,2.0,83.0,102.0
s2f,19.0,3.0,80.0,102.0
etf,12.0,2.0,88.0,102.0
research,43.0,2.0,57.0,102.0
bear,0.0,43.0,59.0,102.0
growing,34.0,10.0,57.0,101.0
quantum,39.0,1.0,61.0,101.0
moment,32.0,7.0,62.0,101.0
native,41.0,4.0,56.0,101.0
least,41.0,5.0,55.0,101.0
institutions,32.0,3.0,65.0,100.0
nothing,31.0,5.0,64.0,100.0
retail,27.0,5.0,67.0,99.0
story,27.0,5.0,67.0,99.0
second,29.0,4.0,66.0,99.0
source,36.0,5.0,58.0,99.0
net,30.0,7.0,62.0,99.0
led,45.0,2.0,51.0,98.0
binding,79.0,0.0,19.0,98.0
coupon,79.0,0.0,19.0,98.0
human,34.0,4.0,60.0,98.0
home,36.0,4.0,58.0,98.0
leverage,25.0,8.0,65.0,98.0
lead,41.0,6.0,51.0,98.0
ceo,27.0,11.0,59.0,97.0
non,24.0,5.0,68.0,97.0
billion,43.0,5.0,48.0,96.0
often,27.0,6.0,63.0,96.0
follow,34.0,3.0,59.0,96.0
leading,30.0,3.0,63.0,96.0
launched,40.0,5.0,51.0,96.0
dollar,23.0,6.0,67.0,96.0
taking,22.0,5.0,69.0,96.0
stocks,34.0,15.0,46.0,95.0
energy,33.0,4.0,58.0,95.0
zcash,53.0,3.0,39.0,95.0
15,40.0,5.0,50.0,95.0
side,38.0,7.0,50.0,95.0
saying,28.0,5.0,62.0,95.0
weexcharts,76.0,0.0,19.0,95.0
works,24.0,3.0,68.0,95.0
person,32.0,2.0,61.0,95.0
agree,19.0,2.0,73.0,94.0
economy,26.0,7.0,61.0,94.0
number,33.0,4.0,57.0,94.0
satoshilite,10.0,6.0,78.0,94.0
during,32.0,10.0,52.0,94.0
fun,34.0,2.0,58.0,94.0
deposit,67.0,0.0,27.0,94.0
low,26.0,10.0,58.0,94.0
perps,22.0,4.0,68.0,94.0
l2,28.0,3.0,63.0,94.0
rules,35.0,7.0,52.0,94.0
having,27.0,4.0,62.0,93.0
zero,26.0,9.0,58.0,93.0
liquidation,21.0,14.0,58.0,93.0
25,37.0,11.0,45.0,93.0
american,39.0,2.0,52.0,93.0
usdc,27.0,1.0,65.0,93.0
feel,29.0,6.0,58.0,93.0
sector,46.0,2.0,45.0,93.0
design,35.0,5.0,53.0,93.0
reason,36.0,5.0,51.0,92.0
self,33.0,2.0,57.0,92.0
cap,29.0,6.0,57.0,92.0
three,39.0,4.0,49.0,92.0
zec,35.0,7.0,49.0,91.0
due,29.0,8.0,54.0,91.0
rate,21.0,6.0,64.0,91.0
later,26.0,7.0,58.0,91.0
example,30.0,1.0,60.0,91.0
guy,38.0,2.0,50.0,90.0
looks,19.0,12.0,59.0,90.0
social,35.0,3.0,52.0,90.0
faster,34.0,8.0,48.0,90.0
freedom,20.0,8.0,61.0,89.0
weeks,32.0,3.0,54.0,89.0
focus,37.0,7.0,45.0,89.0
says,20.0,7.0,62.0,89.0
continue,43.0,3.0,43.0,89.0
opportunity,31.0,4.0,54.0,89.0
active,36.0,1.0,52.0,89.0
form,21.0,7.0,61.0,89.0
14,31.0,5.0,53.0,89.0
incredible,28.0,8.0,53.0,89.0
comes,21.0,9.0,58.0,88.0
stop,30.0,2.0,56.0,88.0
builders,44.0,6.0,38.0,88.0
large,36.0,4.0,48.0,88.0
traditional,31.0,7.0,50.0,88.0
investor,32.0,4.0,52.0,88.0
apps,42.0,3.0,42.0,87.0
law,30.0,5.0,52.0,87.0
place,24.0,5.0,58.0,87.0
foundation,33.0,1.0,53.0,87.0
moving,33.0,4.0,50.0,87.0
went,32.0,3.0,52.0,87.0
blockchains,45.0,1.0,41.0,87.0
debt,22.0,17.0,47.0,86.0
exchanges,28.0,4.0,54.0,86.0
card,17.0,1.0,68.0,86.0
charlie,12.0,6.0,68.0,86.0
goes,29.0,9.0,48.0,86.0
coin,28.0,1.0,57.0,86.0
bonus,65.0,1.0,19.0,85.0
talking,23.0,3.0,59.0,85.0
tokenized,39.0,6.0,40.0,85.0
potential,39.0,4.0,42.0,85.0
david,12.0,2.0,71.0,85.0
fully,37.0,3.0,45.0,85.0
