timestamp,priority_score,alert_level,reasons,telegram_msgs,whale_txs,twitter_engagement,telegram_sentiment,twitter_sentiment
2025-01-13 16:00:00,4,MEDIUM,텔레그램 메시지 급증 (z=2.06); 트위터 인플루언서 활동 급증 (z=4.15),6.0,2.0,574.0,0.0,0.0
2025-11-08 05:00:00,3,MEDIUM,고래 거래 급증 (z=2.01),2.0,736.0,978.0,0.5579000000000001,0.06666666666666667
2025-11-07 23:00:00,3,MEDIUM,고래 거래 급증 (z=2.10),1.0,666.0,2100.0,0.6523,0.06666666666666667
2025-11-07 07:00:00,3,MEDIUM,고래 거래 급증 (z=2.42),2.0,510.0,9374.0,-0.03340000000000001,0.25
2025-11-07 06:00:00,3,MEDIUM,고래 거래 급증 (z=2.50),4.0,456.0,3360.0,0.42101666666666665,0.15
2025-11-07 05:00:00,3,MEDIUM,고래 거래 급증 (z=3.82),4.0,531.0,756.0,0.10325,-0.04
2025-11-07 04:00:00,3,MEDIUM,고래 거래 급증 (z=3.71),1.0,344.0,12461.0,-0.34,-0.04615384615384616
2025-11-06 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.60),3.0,204.0,2202.0,0.281075,0.022222222222222223
2025-11-05 05:00:00,3,MEDIUM,고래 거래 급증 (z=2.92),2.0,399.0,604.0,0.4881999999999999,-0.2
2025-11-05 03:00:00,3,MEDIUM,고래 거래 급증 (z=2.54),2.0,303.0,11802.0,-0.5084,0.02666666666666667
2025-11-04 01:00:00,3,MEDIUM,고래 거래 급증 (z=3.40),1.0,375.0,3593.0,0.0516,0.16666666666666666
2025-11-03 20:00:00,3,MEDIUM,고래 거래 급증 (z=2.16),2.0,225.0,1198.0,-0.17,0.0
2025-11-03 12:00:00,3,MEDIUM,고래 거래 급증 (z=2.50),4.0,222.0,18959.0,-0.1852,0.07692307692307693
2025-11-02 09:00:00,3,MEDIUM,고래 거래 급증 (z=3.72),0.0,611.0,4.0,0.0,0.0
2025-11-02 08:00:00,3,MEDIUM,고래 거래 급증 (z=3.91),0.0,433.0,4696.0,0.0,-0.07142857142857142
2025-10-31 03:00:00,3,MEDIUM,고래 거래 급증 (z=3.60),2.0,1719.0,670.0,-0.05135,0.0
2025-10-31 02:00:00,3,MEDIUM,고래 거래 급증 (z=4.17),4.0,1302.0,1676.0,-0.5744333333333334,0.044444444444444446
2025-10-30 07:00:00,3,MEDIUM,고래 거래 급증 (z=3.31),2.0,404.0,4135.0,0.555,0.3
2025-10-30 04:00:00,3,MEDIUM,고래 거래 급증 (z=2.27),2.0,268.0,3446.0,-0.125,0.08
2025-10-29 22:00:00,3,MEDIUM,고래 거래 급증 (z=2.27),2.0,237.0,2918.0,0.86815,0.2
2025-10-28 18:00:00,3,MEDIUM,고래 거래 급증 (z=2.28),5.0,208.0,2952.0,0.1923125,0.075
