timestamp,news_count,news_sentiment_avg,news_positive_avg,news_negative_avg,news_neutral_avg,news_title_length,news_content_length,news_bitcoin_mentions,news_ethereum_mentions,news_altcoin_mentions,news_regulation_mentions,news_whale_mentions,news_bullish_count,news_bearish_count,news_bullish_ratio,news_bearish_ratio
2025-07-25 13:00:00,8,0.0,0.0,0.0,1.0,33.875,169.625,1,3,1,0,0,0,1,0.0,0.1249999999984375
2025-07-25 14:00:00,6,0.0,0.0,0.0,1.0,36.166666666666664,169.66666666666666,1,2,0,0,0,0,0,0.0,0.0
2025-07-25 15:00:00,11,0.0,0.0,0.0,1.0,36.09090909090909,162.27272727272728,4,1,1,2,1,0,1,0.0,0.09090909090826446
2025-07-25 16:00:00,6,0.0,0.0,0.0,1.0,36.5,146.83333333333334,2,1,1,0,0,1,1,0.16666666666388888,0.16666666666388888
2025-07-25 17:00:00,9,0.025144444444444445,0.006222222222222223,0.0,0.9937777777777776,41.44444444444444,167.88888888888889,3,2,2,0,1,1,0,0.11111111110987654,0.0
2025-07-25 18:00:00,5,0.0,0.0,0.0,1.0,44.2,162.4,2,0,0,0,1,0,2,0.0,0.399999999992
2025-07-25 19:00:00,4,0.0,0.0,0.0,1.0,41.0,165.75,0,1,1,0,0,0,0,0.0,0.0
2025-07-25 20:00:00,4,0.0,0.0,0.0,1.0,39.0,167.25,1,0,0,0,0,0,1,0.0,0.24999999999375
2025-07-25 21:00:00,5,0.16512,0.028000000000000004,0.0,0.9719999999999999,34.4,164.2,1,0,1,0,0,0,1,0.0,0.199999999996
2025-07-25 22:00:00,4,0.0,0.0,0.0,1.0,32.75,169.25,0,0,1,2,0,1,0,0.24999999999375,0.0
2025-07-25 23:00:00,3,0.0,0.0,0.0,1.0,37.333333333333336,164.33333333333334,2,0,1,0,1,1,1,0.3333333333222222,0.3333333333222222
2025-07-26 00:00:00,1,0.0,0.0,0.0,1.0,37.0,170.0,0,1,1,0,0,0,0,0.0,0.0
2025-07-26 01:00:00,1,0.0,0.0,0.0,1.0,39.0,169.0,0,0,0,0,0,0,0,0.0,0.0
2025-07-26 02:00:00,1,0.0,0.0,0.0,1.0,35.0,152.0,1,0,0,0,1,0,0,0.0,0.0
2025-07-26 03:00:00,1,0.0,0.0,0.0,1.0,43.0,169.0,0,0,0,1,0,0,0,0.0,0.0
2025-07-26 04:00:00,1,0.0,0.0,0.0,1.0,35.0,154.0,0,0,0,0,0,0,0,0.0,0.0
2025-07-26 05:00:00,5,0.0,0.0,0.0,1.0,37.6,169.8,2,2,1,0,0,3,0,0.599999999988,0.0
2025-07-26 06:00:00,5,0.0,0.0,0.0,1.0,32.6,169.4,2,1,1,0,0,3,1,0.599999999988,0.199999999996
2025-07-26 07:00:00,9,0.0,0.0,0.0,1.0,36.22222222222222,165.66666666666666,3,0,2,0,1,1,2,0.11111111110987654,0.22222222221975307
2025-07-26 08:00:00,8,0.0,0.0,0.0,1.0,34.5,167.75,3,2,2,1,1,1,1,0.1249999999984375,0.1249999999984375
2025-07-26 09:00:00,3,0.0,0.0,0.0,1.0,33.333333333333336,164.0,1,0,1,0,0,0,0,0.0,0.0
2025-07-26 10:00:00,4,0.0,0.0,0.0,1.0,35.75,159.25,2,0,1,0,1,0,1,0.0,0.24999999999375
2025-07-26 11:00:00,2,0.0,0.0,0.0,1.0,29.5,145.5,0,1,1,0,0,0,0,0.0,0.0
2025-07-26 12:00:00,7,0.0,0.0,0.0,1.0,35.142857142857146,167.71428571428572,2,1,0,0,0,1,1,0.14285714285510204,0.14285714285510204
2025-07-26 13:00:00,3,0.2906666666666667,0.06899999999999999,0.0,0.931,39.333333333333336,170.0,1,0,1,1,0,1,0,0.3333333333222222,0.0
2025-07-26 14:00:00,2,0.0,0.0,0.0,1.0,38.5,169.5,0,0,0,0,0,1,0,0.499999999975,0.0
2025-07-26 15:00:00,3,0.0,0.0,0.0,1.0,45.333333333333336,164.33333333333334,0,0,1,0,0,2,0,0.6666666666444444,0.0
2025-07-26 16:00:00,3,0.0,0.0,0.0,1.0,35.333333333333336,163.66666666666666,1,2,0,0,0,1,0,0.3333333333222222,0.0
2025-07-26 17:00:00,3,0.0,0.0,0.0,1.0,39.666666666666664,169.33333333333334,2,0,1,0,1,0,2,0.0,0.6666666666444444
2025-07-26 18:00:00,4,0.0,0.0,0.0,1.0,36.0,165.5,0,1,0,0,0,1,0,0.24999999999375,0.0
2025-07-26 19:00:00,4,0.0,0.0,0.0,1.0,35.0,170.0,0,0,1,0,0,1,0,0.24999999999375,0.0
2025-07-26 20:00:00,3,0.0,0.0,0.0,1.0,32.0,164.66666666666666,1,0,0,0,1,0,0,0.0,0.0
2025-07-26 21:00:00,3,0.0,0.0,0.0,1.0,43.333333333333336,170.0,1,0,1,0,0,0,0,0.0,0.0
2025-07-26 23:00:00,1,0.0,0.0,0.0,1.0,32.0,170.0,0,0,0,0,0,1,0,0.9999999999,0.0
2025-07-27 00:00:00,3,0.0,0.0,0.0,1.0,37.0,170.0,1,0,1,0,0,1,0,0.3333333333222222,0.0
2025-07-27 01:00:00,1,0.0,0.0,0.0,1.0,28.0,170.0,1,0,0,0,0,0,0,0.0,0.0
2025-07-27 02:00:00,1,0.0,0.0,0.0,1.0,41.0,170.0,0,0,1,0,0,1,0,0.9999999999,0.0
2025-07-27 04:00:00,1,0.0,0.0,0.0,1.0,39.0,170.0,1,0,0,0,0,0,0,0.0,0.0
2025-07-27 05:00:00,5,0.0,0.0,0.0,1.0,36.0,165.8,2,0,0,0,0,0,0,0.0,0.0
2025-07-27 06:00:00,4,0.0,0.0,0.0,1.0,30.0,169.25,3,0,0,0,0,1,1,0.24999999999375,0.24999999999375
2025-07-27 07:00:00,8,0.0,0.0,0.0,1.0,37.25,162.625,2,0,0,2,0,0,0,0.0,0.0
2025-07-27 08:00:00,4,0.0,0.0,0.0,1.0,36.0,169.75,2,0,0,1,0,0,1,0.0,0.24999999999375
2025-07-27 09:00:00,2,0.0,0.0,0.0,1.0,36.5,160.5,0,1,0,0,0,1,0,0.499999999975,0.0
2025-07-27 10:00:00,1,0.0,0.0,0.0,1.0,33.0,170.0,1,0,0,0,0,0,0,0.0,0.0
2025-07-27 11:00:00,3,0.0,0.0,0.0,1.0,37.0,136.0,1,0,0,0,0,1,0,0.3333333333222222,0.0
2025-07-27 12:00:00,3,0.0,0.0,0.0,1.0,38.666666666666664,162.33333333333334,0,0,2,0,0,0,1,0.0,0.3333333333222222
2025-07-27 13:00:00,7,0.0,0.0,0.0,1.0,38.714285714285715,166.42857142857142,3,0,1,0,0,0,0,0.0,0.0
2025-07-27 14:00:00,1,0.0,0.0,0.0,1.0,34.0,152.0,0,0,0,0,0,0,0,0.0,0.0
2025-07-27 15:00:00,3,0.0,0.0,0.0,1.0,28.333333333333332,154.0,0,0,1,0,0,0,0,0.0,0.0
2025-07-27 16:00:00,6,0.14048333333333332,0.029166666666666664,0.0,0.9708333333333333,34.666666666666664,166.66666666666666,2,1,1,0,0,0,0,0.0,0.0
2025-07-27 17:00:00,3,-0.07543333333333334,0.0,0.016666666666666666,0.9833333333333334,37.666666666666664,169.33333333333334,0,1,1,1,0,2,0,0.6666666666444444,0.0
2025-07-27 18:00:00,2,0.0,0.0,0.0,1.0,31.5,169.5,0,1,0,0,0,0,0,0.0,0.0
2025-07-27 19:00:00,2,0.0,0.0,0.0,1.0,36.5,170.0,0,1,0,1,0,0,0,0.0,0.0
2025-07-27 20:00:00,2,0.0,0.0,0.0,1.0,34.0,161.5,1,0,1,0,0,1,0,0.499999999975,0.0
2025-07-27 21:00:00,2,0.0,0.0,0.0,1.0,35.0,169.5,0,0,0,0,0,0,0,0.0,0.0
2025-07-27 22:00:00,1,0.0,0.0,0.0,1.0,42.0,169.0,0,0,1,0,0,0,0,0.0,0.0
2025-07-27 23:00:00,3,0.0,0.0,0.0,1.0,29.666666666666668,170.0,1,1,0,1,0,0,0,0.0,0.0
2025-07-28 02:00:00,1,0.0,0.0,0.0,1.0,38.0,170.0,0,0,1,0,0,0,0,0.0,0.0
2025-07-28 04:00:00,5,0.0,0.0,0.0,1.0,30.8,166.6,1,1,1,0,0,2,0,0.399999999992,0.0
2025-07-28 05:00:00,7,0.0,0.0,0.0,1.0,36.285714285714285,167.14285714285714,1,2,0,2,0,0,0,0.0,0.0
2025-07-28 06:00:00,1,0.0,0.0,0.0,1.0,37.0,170.0,1,0,0,0,0,0,0,0.0,0.0
2025-07-28 07:00:00,5,0.0,0.0,0.0,1.0,36.4,162.0,3,1,0,0,0,2,0,0.399999999992,0.0
2025-07-28 08:00:00,12,0.028333333333333335,0.005999999999999999,0.0,0.9940000000000001,36.916666666666664,133.08333333333334,4,1,2,1,1,4,2,0.33333333333055554,0.16666666666527777
2025-07-28 09:00:00,11,0.08315454545454547,0.010909090909090908,0.0,0.989090909090909,33.36363636363637,166.63636363636363,5,0,0,2,0,1,0,0.09090909090826446,0.0
2025-07-28 10:00:00,9,0.0,0.0,0.0,1.0,34.44444444444444,165.55555555555554,3,1,0,1,0,1,0,0.11111111110987654,0.0
2025-07-28 11:00:00,12,0.0,0.0,0.0,1.0,37.916666666666664,163.41666666666666,1,2,2,2,0,0,2,0.0,0.16666666666527777
2025-07-28 12:00:00,8,0.0,0.0,0.0,1.0,35.75,170.0,3,3,1,0,0,2,0,0.249999999996875,0.0
2025-07-28 13:00:00,10,0.0,0.0,0.0,1.0,39.5,166.0,2,3,2,0,0,1,0,0.099999999999,0.0
2025-07-28 14:00:00,5,0.0,0.0,0.0,1.0,35.0,169.6,2,0,0,0,0,0,0,0.0,0.0
2025-07-28 15:00:00,7,0.0,0.0,0.0,1.0,35.857142857142854,169.71428571428572,2,1,0,2,1,1,1,0.14285714285510204,0.14285714285510204
2025-07-28 16:00:00,10,0.0,0.0,0.0,1.0,38.6,164.4,2,1,1,3,0,2,1,0.199999999998,0.099999999999
2025-07-28 17:00:00,8,0.0781125,0.0135,0.0,0.9865,37.125,165.0,1,0,0,1,0,1,0,0.1249999999984375,0.0
2025-07-28 18:00:00,8,0.05505,0.007875,0.0,0.992125,40.25,159.375,2,2,0,0,0,2,0,0.249999999996875,0.0
2025-07-28 19:00:00,5,0.0,0.0,0.0,1.0,39.6,165.8,0,2,0,1,0,0,1,0.0,0.199999999996
2025-07-28 20:00:00,4,0.0,0.0,0.0,1.0,50.0,169.5,0,1,1,0,0,1,0,0.24999999999375,0.0
2025-07-28 21:00:00,7,0.0,0.0,0.0,1.0,39.142857142857146,167.85714285714286,1,1,1,0,0,1,0,0.14285714285510204,0.0
2025-07-28 22:00:00,1,0.0,0.0,0.0,1.0,32.0,169.0,1,0,0,0,0,1,0,0.9999999999,0.0
2025-07-28 23:00:00,3,0.0,0.0,0.0,1.0,39.333333333333336,151.33333333333334,1,0,0,1,0,1,0,0.3333333333222222,0.0
2025-07-29 00:00:00,7,0.0,0.0,0.0,1.0,32.857142857142854,169.57142857142858,1,2,1,0,0,1,1,0.14285714285510204,0.14285714285510204
2025-07-29 01:00:00,2,0.0,0.0,0.0,1.0,45.0,169.5,1,0,0,0,0,0,0,0.0,0.0
2025-07-29 02:00:00,4,0.0,0.0,0.0,1.0,37.25,160.75,0,0,1,0,0,0,0,0.0,0.0
2025-07-29 03:00:00,1,0.0,0.0,0.0,1.0,26.0,170.0,1,0,1,0,0,0,0,0.0,0.0
2025-07-29 04:00:00,6,0.0,0.0,0.0,1.0,37.5,166.66666666666666,2,0,1,0,1,1,0,0.16666666666388888,0.0
2025-07-29 05:00:00,9,-0.011411111111111111,0.0,0.0035555555555555557,0.9964444444444445,37.333333333333336,168.0,2,1,1,1,0,0,1,0.0,0.11111111110987654
